,Li,Be,B,C,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,W,Re,Ir,Pt,Au,Tl,Pb,Bi,Th
Li,0.0,3.12471,4.06813,3.36612,0.34541,2.91801,2.66566,3.45491,2.96809,0.79824,2.94222,2.96526,3.0639,3.20391,3.31447,3.51527,3.43529,3.56145,3.66928,4.09929,3.8102,3.27913,3.95815,0.97483,2.94255,2.94466,3.14122,3.33113,3.57256,4.20616,4.56573,4.38728,4.11644,3.7842,3.25366,3.37294,3.95572,4.03098,1.39496,2.93063,2.89703,2.91514,2.88492,2.89852,3.20248,2.88992,2.95337,2.92213,2.92871,2.9367,2.94485,2.94317,2.91165,2.96507,3.44541,3.87752,3.99514,4.43297,4.3849,4.13766,3.23721,3.37276,3.40128,2.27678
Be,3.12471,0.0,3.76804,2.91615,3.15294,0.81471,2.51157,3.28787,3.10106,3.42666,1.33586,3.05162,3.02737,3.07115,3.12637,3.60409,3.23128,3.32815,3.47238,3.79431,3.74662,3.35933,3.91226,3.53931,1.56465,3.10582,3.06521,3.15858,3.22581,3.92183,4.19533,4.20484,3.85302,3.78632,3.31051,3.43115,3.9721,4.04255,3.77709,1.82622,3.20488,3.26082,3.17428,3.20034,3.56959,3.22208,3.19049,3.14402,3.1233,3.12819,3.11954,3.09475,3.15636,3.10545,3.17729,3.37579,3.54665,4.05671,4.15743,3.79173,3.30475,3.41634,3.49496,2.54496
B,4.06813,3.76804,0.0,2.97835,4.0911,3.89261,2.98878,1.62977,2.91001,4.20412,3.89076,3.72414,3.61311,3.50942,3.59046,3.36329,3.59646,3.68243,3.66006,4.26066,4.17266,3.51692,2.58166,4.23579,3.70548,3.76655,3.51556,3.51907,3.51699,4.1462,4.11744,4.30158,4.3515,4.20035,3.5136,3.4525,2.87453,2.86708,4.38999,4.01068,3.90443,3.82304,3.87949,3.89263,3.65955,3.86203,3.85103,3.81549,3.79213,3.78516,3.7715,3.7565,3.70608,3.75538,3.45766,3.49847,3.49143,4.02371,4.168,4.0274,3.63924,3.50228,3.56558,3.13815
C,3.36612,2.91615,2.97835,0.0,3.43477,3.06406,1.87925,2.46604,2.22281,3.69549,3.20988,2.91994,2.85116,2.82399,2.85109,3.22479,2.90859,2.98376,3.06743,3.50479,3.40403,2.9589,3.31257,3.79309,3.31562,2.97945,2.92215,2.80632,2.8316,3.55116,3.95553,3.82916,3.55874,3.43012,2.90081,2.87222,3.36756,3.42707,4.02095,3.44712,3.21099,3.2462,3.17156,3.18017,3.42098,3.19664,3.1073,3.06141,3.02751,2.9963,2.98201,2.96065,3.12387,2.95926,2.74625,2.89563,3.14603,3.68402,3.75856,3.47443,2.85009,2.8047,2.85884,2.29207
Na,0.34541,3.15294,4.0911,3.43477,0.0,2.92222,2.62422,3.45275,2.97159,0.71777,2.89346,3.03933,3.14361,3.2818,3.37047,3.50951,3.48955,3.61185,3.70746,4.03791,3.83154,3.30395,3.97237,0.94147,2.95348,3.01144,3.21944,3.40383,3.62093,4.2535,4.59147,4.42283,4.03782,3.80642,3.25933,3.36922,3.98691,4.06695,1.3746,2.96,2.9534,2.9487,2.94273,2.95653,3.18244,2.93018,3.00891,2.98703,2.9956,3.00398,3.01274,3.01181,2.93026,3.03567,3.52251,3.92619,4.07919,4.4628,4.42505,4.09953,3.27206,3.39595,3.43306,2.32362
Mg,2.91801,0.81471,3.89261,3.06406,2.92222,0.0,2.43936,3.26812,2.88532,3.14312,0.84666,2.97046,3.01615,3.11287,3.1853,3.47116,3.29147,3.39919,3.51434,3.84599,3.68135,3.22577,3.84957,3.23804,1.13423,2.9886,3.09241,3.22781,3.38279,4.03974,4.37055,4.25022,3.86908,3.68362,3.18312,3.2825,3.87396,3.94467,3.45972,1.33045,3.02017,3.04366,2.99044,3.00993,3.31328,3.00496,3.00309,2.99219,2.9908,2.98043,2.98131,2.97651,2.97179,3.00147,3.30673,3.63109,3.80038,4.22384,4.22908,3.87743,3.17364,3.29069,3.34212,2.34902
Al,2.66566,2.51157,2.98878,1.87925,2.62422,2.43936,0.0,2.13301,1.53821,2.90126,2.53342,2.62206,2.59228,2.61925,2.61017,2.86853,2.62585,2.69484,2.77086,2.97873,2.92745,2.24844,2.99085,3.02603,2.71957,2.65138,2.6659,2.74011,2.78613,3.48397,3.75763,3.65554,2.99567,2.94626,2.14947,2.21999,3.02954,3.07916,3.28186,2.87274,2.70622,2.70727,2.67036,2.69849,2.94298,2.67355,2.68902,2.67042,2.66067,2.65515,2.65328,2.6395,2.58205,2.65964,2.82146,3.04,3.25072,3.60779,3.62686,3.02795,2.20539,2.2643,2.3146,1.86111
Si,3.45491,3.28787,1.62977,2.46604,3.45275,3.26812,2.13301,0.0,2.34786,3.64306,3.32386,3.27697,3.23577,3.2282,3.2546,3.30975,3.26033,3.32973,3.36132,3.71156,3.59118,3.0019,2.06273,3.71999,3.36581,3.30507,3.27052,3.29556,3.34389,3.95169,4.17298,4.09211,3.74445,3.60061,2.9557,2.94053,2.17008,2.21735,3.91926,3.5312,3.39405,3.3666,3.36449,3.38237,3.44716,3.35336,3.35258,3.3351,3.32173,3.30977,3.30462,3.29425,3.2607,3.3082,3.32473,3.50398,3.64498,4.01787,4.03979,3.66628,3.00319,2.96464,3.00269,2.66892
P,2.96809,3.10106,2.91001,2.22281,2.97159,2.88532,1.53821,2.34786,0.0,3.12964,2.93388,2.85973,2.88085,2.94471,3.03858,2.65995,2.97166,3.07919,3.06017,3.65096,3.15046,2.21844,2.95752,3.16352,2.82288,2.87318,2.9968,3.11609,3.3002,3.8643,4.14478,3.82114,3.65776,3.09542,2.25126,2.10844,2.93917,2.93932,3.36761,2.99199,2.89284,2.78402,2.86177,2.90485,2.79048,2.77819,2.88546,2.88486,2.87507,2.87776,2.87881,2.87063,2.67052,2.90878,3.22833,3.62011,3.68111,3.98494,3.81666,3.5509,2.29877,2.12846,2.12853,2.16296
K,0.79824,3.42666,4.20412,3.69549,0.71777,3.14312,2.90126,3.64306,3.12964,0.0,2.97162,3.16343,3.29697,3.4464,3.55431,3.57724,3.68543,3.81731,3.89359,4.2732,4.03358,3.46034,4.11316,0.26107,2.95318,3.09349,3.34341,3.54534,3.79924,4.42418,4.74889,4.584,4.2681,3.98976,3.41593,3.52473,4.13139,4.21191,0.66533,2.88247,2.96827,2.94506,2.98046,2.97286,3.11331,2.9529,3.07913,3.04614,3.06322,3.08043,3.09553,3.10249,2.99504,3.12405,3.67796,4.11275,4.24441,4.63048,4.58077,4.31888,3.45407,3.55644,3.58288,2.32377
Ca,2.94222,1.33586,3.89076,3.20988,2.89346,0.84666,2.53342,3.32386,2.93388,2.97162,0.0,3.06048,3.15263,3.26316,3.32817,3.39928,3.46185,3.58399,3.66173,3.91041,3.85001,3.34044,3.91269,3.04357,0.83764,3.02715,3.2041,3.33361,3.50643,4.18044,4.49763,4.37613,3.90041,3.83439,3.26624,3.34247,3.97799,4.07037,3.20003,1.00068,3.01098,2.97872,3.0037,3.0095,3.09543,2.97445,3.05229,3.02155,3.02438,3.02885,3.03467,3.03,2.93544,3.04792,3.41846,3.75926,3.97312,4.34668,4.3635,3.98105,3.31553,3.39329,3.44879,2.25034
Sc,2.96526,3.05162,3.72414,2.91994,3.03933,2.97046,2.62206,3.27697,2.85973,3.16343,3.06048,0.0,0.4061,0.77844,1.14103,1.73136,1.40457,1.66001,1.84795,2.79569,2.29437,3.085,3.70487,3.20708,2.97473,0.21995,0.67405,1.03051,1.56011,2.68408,3.18304,2.96997,2.87209,2.27399,3.07752,3.17322,3.72238,3.79145,3.38031,3.01582,2.89319,2.92849,2.88547,2.89773,3.20235,2.91248,2.87302,2.85769,2.85006,2.85345,2.84924,2.84199,2.9174,2.83613,1.20052,2.0122,2.12792,2.97223,2.93383,2.74979,3.03446,3.1397,3.17118,2.1362
Ti,3.0639,3.02737,3.61311,2.85116,3.14361,3.01615,2.59228,3.23577,2.88085,3.29697,3.15263,0.4061,0.0,0.38561,0.79183,1.65221,1.0555,1.31583,1.52541,2.56922,2.07747,2.94128,3.56769,3.34819,3.05822,0.57165,0.38479,0.70023,1.21127,2.45553,2.9026,2.74643,2.67883,2.08394,2.93517,3.04135,3.60161,3.66022,3.53189,3.13737,2.96775,3.01457,2.96875,2.98198,3.30763,3.01147,2.92854,2.92833,2.91605,2.918,2.90983,2.89997,3.00018,2.87759,0.90089,1.6833,1.75688,2.71115,2.69324,2.4676,2.89881,3.00132,3.0426,2.19647
V,3.20391,3.07115,3.50942,2.82399,3.2818,3.11287,2.61925,3.2282,2.94471,3.4464,3.26316,0.77844,0.38561,0.0,0.51412,1.57912,0.78488,1.04301,1.25215,2.38477,1.94252,2.85083,3.46114,3.50105,3.16081,0.91716,0.34509,0.40662,0.88297,2.27697,2.65328,2.5687,2.52477,1.97517,2.84179,2.94915,3.52332,3.57293,3.68676,3.27707,3.07883,3.12578,3.0891,3.09996,3.40197,3.13959,3.01941,3.0351,3.02044,3.01796,3.00676,2.99678,3.11092,2.95836,0.6424,1.36972,1.39682,2.48086,2.49353,2.22438,2.82194,2.91355,2.96366,2.27889
Cr,3.31447,3.12637,3.59046,2.85109,3.37047,3.1853,2.61017,3.2546,3.03858,3.55431,3.32817,1.14103,0.79183,0.51412,0.0,1.59015,0.40765,0.62041,0.84782,1.90733,1.56057,2.65389,3.28638,3.62555,3.29911,1.24636,0.78213,0.47546,0.63742,2.11376,2.4629,2.34129,2.06216,1.6228,2.61861,2.73907,3.35963,3.41487,3.81745,3.41862,3.19572,3.24455,3.2293,3.23888,3.54322,3.27928,3.14108,3.17933,3.1649,3.15907,3.14912,3.13835,3.24141,3.07665,0.7961,1.25921,1.34305,2.31232,2.2942,1.7647,2.61198,2.7128,2.7752,2.38431
Mn,3.51527,3.60409,3.36329,3.22479,3.50951,3.47116,2.86853,3.30975,2.65995,3.57724,3.39928,1.73136,1.65221,1.57912,1.59015,0.0,1.57872,1.73525,1.58886,2.5084,2.06138,2.6776,3.23924,3.59152,3.24014,1.72606,1.6485,1.60092,1.82828,2.72949,2.92806,2.6453,2.558,2.01035,2.67777,2.60249,3.37801,3.41705,3.73719,3.44965,3.37,3.25365,3.40731,3.42326,3.14975,3.34351,3.32739,3.38582,3.38066,3.37271,3.36884,3.3683,3.23052,3.32527,1.78984,2.25027,2.26392,2.79296,2.62772,2.29828,2.78511,2.6826,2.73284,2.51049
Fe,3.43529,3.23128,3.59646,2.90859,3.48955,3.29147,2.62585,3.26033,2.97166,3.68543,3.46185,1.40457,1.0555,0.78488,0.40765,1.57872,0.0,0.27748,0.51111,1.7634,1.26084,2.46443,3.14472,3.75423,3.41741,1.51101,1.07047,0.79953,0.80913,2.08684,2.38095,2.1939,1.93556,1.33762,2.44186,2.54937,3.20209,3.24028,3.94995,3.54938,3.30535,3.34847,3.34727,3.36314,3.65509,3.39243,3.24865,3.30463,3.289,3.28722,3.27648,3.2644,3.34574,3.19717,1.08206,1.40801,1.39162,2.26094,2.16584,1.5518,2.43725,2.51673,2.57603,2.54334
Co,3.56145,3.32815,3.68243,2.98376,3.61185,3.39919,2.69484,3.32973,3.07919,3.81731,3.58399,1.66001,1.31583,1.04301,0.62041,1.73525,0.27748,0.0,0.34868,1.59076,1.09859,2.41247,3.1027,3.89162,3.56058,1.76101,1.32404,1.01725,0.90228,2.07006,2.32638,2.13112,1.78383,1.20594,2.38279,2.49965,3.15781,3.19045,4.08876,3.6914,3.42989,3.47981,3.47977,3.49443,3.80545,3.52995,3.37046,3.43828,3.42342,3.4185,3.40815,3.39707,3.4843,3.32124,1.28116,1.46965,1.43876,2.23097,2.11366,1.36026,2.37885,2.46557,2.52577,2.68918
Ni,3.66928,3.47238,3.66006,3.06743,3.70746,3.51434,2.77086,3.36132,3.06017,3.89359,3.66173,1.84795,1.52541,1.25215,0.84782,1.58886,0.51111,0.34868,0.0,1.52474,0.98201,2.29792,2.99267,3.9592,3.62155,1.9299,1.52439,1.19453,1.06977,2.10554,2.30617,2.05197,1.71014,1.07656,2.27027,2.3529,3.06462,3.09157,4.14733,3.76819,3.51707,3.54077,3.57702,3.59163,3.80942,3.60972,3.4547,3.53803,3.52465,3.51841,3.50866,3.49984,3.55142,3.41573,1.45913,1.61126,1.54939,2.2298,2.05212,1.24225,2.29374,2.33846,2.39833,2.75959
Cu,4.09929,3.79431,4.26066,3.50479,4.03791,3.84599,2.97873,3.71156,3.65096,4.2732,3.91041,2.79569,2.56922,2.38477,1.90733,2.5084,1.7634,1.59076,1.52474,0.0,1.43943,2.74214,3.3078,4.39739,4.16116,2.84223,2.60076,2.28445,1.9428,2.61866,2.72585,2.54627,0.28888,1.57888,2.58984,2.6851,3.41553,3.47828,4.60081,4.30232,4.07905,4.09595,4.15031,4.15997,4.35197,4.16762,4.0433,4.13319,4.12348,4.11046,4.10645,4.09597,4.08012,4.01016,2.49241,2.3039,2.57838,2.6824,2.60755,0.6775,2.69274,2.75113,2.85376,3.37457
Zn,3.8102,3.74662,4.17266,3.40403,3.83154,3.68135,2.92745,3.59118,3.15046,4.03358,3.85001,2.29437,2.07747,1.94252,1.56057,2.06138,1.26084,1.09859,0.98201,1.43943,0.0,2.14253,2.97172,4.10786,3.88628,2.34591,2.19427,1.96458,1.93552,2.51596,2.80447,2.23419,1.54252,0.21831,2.11401,2.19144,2.93592,2.96038,4.30108,3.96588,3.71047,3.73809,3.78792,3.80889,4.08989,3.80685,3.68123,3.78759,3.7836,3.77503,3.7736,3.76893,3.77643,3.68589,2.27346,2.50058,2.47914,2.73817,2.35651,1.3897,2.08041,2.17294,2.1902,3.08784
Ga,3.27913,3.35933,3.51692,2.9589,3.30395,3.22577,2.24844,3.0019,2.21844,3.46034,3.34044,3.085,2.94128,2.85083,2.65389,2.6776,2.46443,2.41247,2.29792,2.74214,2.14253,0.0,2.09952,3.50624,3.254,3.10752,3.01416,2.89065,2.92621,3.33119,3.50736,3.03126,2.79755,2.10797,0.26827,0.45375,2.06976,2.08064,3.69396,3.36539,3.11298,3.09258,3.21106,3.24297,3.40326,3.20143,3.11418,3.23161,3.22601,3.23262,3.23238,3.22563,3.15465,3.12128,3.13387,3.36856,3.27901,3.49008,3.13427,2.64142,0.38102,0.41747,0.43222,2.36163
Ge,3.95815,3.91226,2.58166,3.31257,3.97237,3.84957,2.99085,2.06273,2.95752,4.11316,3.91269,3.70487,3.56769,3.46114,3.28638,3.23924,3.14472,3.1027,2.99267,3.3078,2.97172,2.09952,0.0,4.15843,3.86264,3.72751,3.60825,3.44314,3.42609,3.79886,3.93058,3.56833,3.35312,2.95996,2.08897,2.04906,0.49088,0.57396,4.32418,3.9983,3.78263,3.74762,3.86188,3.88236,3.91903,3.84453,3.75216,3.84939,3.83962,3.83541,3.83174,3.82497,3.77528,3.73434,3.60658,3.7374,3.69886,3.88506,3.62976,3.20373,2.14085,2.06264,2.09204,3.07435
Rb,0.97483,3.53931,4.23579,3.79309,0.94147,3.23804,3.02603,3.71999,3.16352,0.26107,3.04357,3.20708,3.34819,3.50105,3.62555,3.59152,3.75423,3.89162,3.9592,4.39739,4.10786,3.50624,4.15843,0.0,2.96738,3.1279,3.38827,3.59951,3.87507,4.49078,4.81259,4.63686,4.395,4.05548,3.47282,3.57456,4.17259,4.2492,0.44108,2.8783,2.98682,2.95504,3.00407,2.99289,3.09773,2.97056,3.10602,3.0738,3.09279,3.11342,3.12935,3.1388,3.02523,3.15982,3.73533,4.19332,4.29985,4.69751,4.63255,4.42407,3.5119,3.60299,3.62245,2.35211
Sr,2.94255,1.56465,3.70548,3.31562,2.95348,1.13423,2.71957,3.36581,2.82288,2.95318,0.83764,2.97473,3.05822,3.16081,3.29911,3.24014,3.41741,3.56058,3.62155,4.16116,3.88628,3.254,3.86264,2.96738,0.0,2.94023,3.07533,3.25184,3.49667,4.16414,4.44302,4.32765,4.18764,3.85614,3.23588,3.30176,3.92464,3.99146,3.08595,0.59633,2.91054,2.86401,2.90626,2.91299,2.94272,2.87881,2.95538,2.92344,2.92734,2.94027,2.94434,2.94314,2.85675,2.95895,3.33376,3.7534,3.83351,4.3152,4.29728,4.12953,3.2769,3.33426,3.36868,2.1536
Y,2.94466,3.10582,3.76655,2.97945,3.01144,2.9886,2.65138,3.30507,2.87318,3.09349,3.02715,0.21995,0.57165,0.91716,1.24636,1.72606,1.51101,1.76101,1.9299,2.84223,2.34591,3.10752,3.72751,3.1279,2.94023,0.0,0.78045,1.12284,1.66244,2.75331,3.25832,3.02732,2.90627,2.3136,3.09448,3.18915,3.74384,3.81745,3.28089,2.95526,2.86234,2.89007,2.86101,2.86762,3.14602,2.88,2.85797,2.84097,2.83745,2.84247,2.8409,2.83664,2.89727,2.83113,1.30342,2.11979,2.24249,3.04682,2.99746,2.81651,3.05784,3.16371,3.1897,2.08938
Zr,3.14122,3.06521,3.51556,2.92215,3.21944,3.09241,2.6659,3.27052,2.9968,3.34341,3.2041,0.67405,0.38479,0.34509,0.78213,1.6485,1.07047,1.32404,1.52439,2.60076,2.19427,3.01416,3.60825,3.38827,3.07533,0.78045,0.0,0.56977,1.07649,2.41493,2.77184,2.75095,2.73336,2.22011,3.00384,3.11961,3.67774,3.72868,3.55497,3.17923,3.01935,3.06521,3.02365,3.02878,3.32189,3.07584,2.97736,2.97452,2.96375,2.96474,2.95504,2.94707,3.05753,2.92168,0.70734,1.48219,1.50011,2.60229,2.65888,2.45564,2.99421,3.09674,3.14117,2.21661
