,Li,Be,B,C,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,W,Re,Ir,Pt,Au,Tl,Pb,Bi,Th
Te,4.03098,4.04255,2.86708,3.42707,4.06695,3.94467,3.07916,2.21735,2.93932,4.21191,4.07037,3.79145,3.66022,3.57293,3.41487,3.41705,3.24028,3.19045,3.09157,3.47828,2.96038,2.08064,0.57396,4.2492,3.99146,3.81745,3.72868,3.59339,3.61166,3.92452,4.0958,3.65325,3.52681,2.93438,2.11209,2.07637,0.24489,0.0,4.41376,4.08618,3.85078,3.83644,3.92684,3.95043,4.08143,3.91805,3.82172,3.92676,3.92018,3.91651,3.91451,3.91087,3.87894,3.82923,3.77578,3.95935,3.87836,4.05033,3.72933,3.36925,2.09837,2.04163,2.02597,3.23772
Cs,1.39496,3.77709,4.38999,4.02095,1.3746,3.45972,3.28186,3.91926,3.36761,0.66533,3.20003,3.38031,3.53189,3.68676,3.81745,3.73719,3.94995,4.08876,4.14733,4.60081,4.30108,3.69396,4.32418,0.44108,3.08595,3.28089,3.55497,3.76965,4.05642,4.65842,4.96955,4.80116,4.59648,4.2406,3.66031,3.76187,4.33821,4.41376,0.0,2.94938,3.10619,3.06941,3.13634,3.11221,3.17752,3.09821,3.25234,3.21544,3.23851,3.26339,3.28229,3.29595,3.17773,3.31526,3.90982,4.37192,4.46716,4.86147,4.79283,4.61858,3.71082,3.78997,3.80399,2.49221
Ba,2.93063,1.82622,4.01068,3.44712,2.96,1.33045,2.87274,3.5312,2.99199,2.88247,1.00068,3.01582,3.13737,3.27707,3.41862,3.44965,3.54938,3.6914,3.76819,4.30232,3.96588,3.36539,3.9983,2.8783,0.59633,2.95526,3.17923,3.3662,3.65257,4.29341,4.64509,4.46298,4.31884,3.92041,3.34473,3.43742,4.01016,4.08618,2.94938,0.0,2.87544,2.86265,2.88374,2.87746,3.03611,2.86679,2.95827,2.91941,2.93045,2.94767,2.95784,2.96218,2.91545,2.97804,3.47364,3.94758,4.03476,4.50555,4.44962,4.30902,3.35142,3.44327,3.45881,2.17357
La,2.89703,3.20488,3.90443,3.21099,2.9534,3.02017,2.70622,3.39405,2.89284,2.96827,3.01098,2.89319,2.96775,3.07883,3.19572,3.37,3.30535,3.42989,3.51707,4.07905,3.71047,3.11298,3.78263,2.98682,2.91054,2.86234,3.01935,3.16745,3.42601,4.06378,4.42364,4.23081,4.11399,3.67721,3.10045,3.20966,3.78045,3.85078,3.10619,2.87544,0.0,0.35631,0.22834,0.24499,1.31976,0.33817,0.50479,0.37377,0.40975,0.48134,0.51232,0.51734,0.60783,0.5193,3.27432,3.72074,3.78574,4.2859,4.21949,4.07238,3.07599,3.19076,3.20697,2.11036
Ce,2.91514,3.26082,3.82304,3.2462,2.9487,3.04366,2.70727,3.3666,2.78402,2.94506,2.97872,2.92849,3.01457,3.12578,3.24455,3.25365,3.34847,3.47981,3.54077,4.09595,3.73809,3.09258,3.74762,2.95504,2.86401,2.89007,3.06521,3.21426,3.47624,4.11089,4.44941,4.24289,4.11885,3.69596,3.08099,3.15512,3.76616,3.83644,3.06941,2.86265,0.35631,0.0,0.42664,0.45542,0.99205,0.2644,0.63178,0.55129,0.57966,0.62967,0.65847,0.66592,0.40629,0.67877,3.32541,3.77676,3.84906,4.31251,4.23487,4.08078,3.0853,3.15917,3.17957,2.10234
Pr,2.88492,3.17428,3.87949,3.17156,2.94273,2.99044,2.67036,3.36449,2.86177,2.98046,3.0037,2.88547,2.96875,3.0891,3.2293,3.40731,3.34727,3.47977,3.57702,4.15031,3.78792,3.21106,3.86188,3.00407,2.90626,2.86101,3.02365,3.19288,3.45666,4.10606,4.47093,4.29841,4.18585,3.75704,3.20124,3.30426,3.85982,3.92684,3.13634,2.88374,0.22834,0.42664,0.0,0.14598,1.3157,0.26422,0.48164,0.2553,0.30179,0.36442,0.39881,0.40847,0.54197,0.50169,3.28458,3.73537,3.8101,4.32494,4.27749,4.14173,3.17371,3.28546,3.30149,2.13999
Nd,2.89852,3.20034,3.89263,3.18017,2.95653,3.00993,2.69849,3.38237,2.90485,2.97286,3.0095,2.89773,2.98198,3.09996,3.23888,3.42326,3.36314,3.49443,3.59163,4.15997,3.80889,3.24297,3.88236,2.99289,2.91299,2.86762,3.02878,3.19349,3.45555,4.10979,4.4734,4.31287,4.19573,3.77802,3.22889,3.33384,3.88345,3.95043,3.11221,2.87746,0.24499,0.45542,0.14598,0.0,1.31219,0.32443,0.48215,0.28261,0.34808,0.36762,0.41054,0.44601,0.61933,0.53594,3.28443,3.7279,3.80844,4.32616,4.28567,4.14959,3.20507,3.31619,3.33202,2.11964
Sm,3.20248,3.56959,3.65955,3.42098,3.18244,3.31328,2.94298,3.44716,2.79048,3.11331,3.09543,3.20235,3.30763,3.40197,3.54322,3.14975,3.65509,3.80545,3.80942,4.35197,4.08989,3.40326,3.91903,3.09773,2.94272,3.14602,3.32189,3.4617,3.71339,4.36034,4.62407,4.4675,4.35357,4.03764,3.385,3.36541,4.01492,4.08143,3.17752,3.03611,1.31976,0.99205,1.3157,1.31219,0.0,1.10466,1.36357,1.33886,1.35676,1.35564,1.36909,1.38813,0.95004,1.42783,3.53941,3.95949,4.06275,4.47823,4.43567,4.29937,3.46623,3.4313,3.46518,2.29683
Eu,2.88992,3.22208,3.86203,3.19664,2.93018,3.00496,2.67355,3.35336,2.77819,2.9529,2.97445,2.91248,3.01147,3.13959,3.27928,3.34351,3.39243,3.52995,3.60972,4.16762,3.80685,3.20143,3.84453,2.97056,2.87881,2.88,3.07584,3.24471,3.51467,4.15697,4.52155,4.32001,4.19004,3.76669,3.19091,3.26805,3.84827,3.91805,3.09821,2.86679,0.33817,0.2644,0.26422,0.32443,1.10466,0.0,0.56863,0.41703,0.44986,0.49993,0.53244,0.5414,0.37119,0.62719,3.34404,3.80577,3.89403,4.37142,4.307,4.16126,3.17852,3.26159,3.27973,2.13679
Gd,2.95337,3.19049,3.85103,3.1073,3.00891,3.00309,2.68902,3.35258,2.88546,3.07913,3.05229,2.87302,2.92854,3.01941,3.14108,3.32739,3.24865,3.37046,3.4547,4.0433,3.68123,3.11418,3.75216,3.10602,2.95538,2.85797,2.97736,3.09746,3.34239,3.99253,4.35366,4.17298,4.08453,3.65445,3.1037,3.19417,3.75708,3.82172,3.25234,2.95827,0.50479,0.63178,0.48164,0.48215,1.36357,0.56863,0.0,0.36442,0.41112,0.36988,0.362,0.42506,0.70804,0.43976,3.18027,3.60717,3.67475,4.20064,4.14777,4.01715,3.06867,3.18037,3.19721,2.10617
